timestamp,residual,trend_slope,kept,threshold_value,ramp_gate,residual_gate,is_ground_truth
2025-09-11 01:00:00,0.7072042077377603,,False,0.5545968048284278,False,False,False
2025-09-11 01:30:00,0.7764780067740276,,False,0.5326002406694994,False,False,False
2025-09-11 02:00:00,0.949194917083581,,False,0.5173783337587516,False,False,False
2025-09-11 02:30:00,0.7432085651506171,,False,0.5021564268480039,False,False,False
2025-09-11 03:00:00,0.743617779273336,,False,0.5006226751610808,False,False,False
2025-09-11 03:30:00,0.7064569598144672,9.088830767408258e-05,False,0.49826470843008513,True,False,False
2025-09-11 04:00:00,0.8146286670283693,9.952523140732694e-05,False,0.4917063932538752,True,False,False
2025-09-11 04:30:00,0.6830300592995151,0.00010818395932036633,False,0.4851480780776653,True,False,False
2025-09-11 05:00:00,0.6122791034622885,0.00011685490125046272,False,0.484141263847125,True,False,False
2025-09-11 05:30:00,0.5324366386439578,0.0001255283063823498,False,0.48313444961658475,True,False,False
2025-09-11 06:30:00,0.5348597832176161,0.0001428439001157263,False,0.472181932563425,True,False,False
2025-09-11 07:00:00,0.5013591140856626,0.00015146729800896708,False,0.47206772228269983,True,False,False
2025-09-11 10:30:00,0.5670567801766424,0.000210402724679426,False,0.48099181825502685,True,False,False
2025-09-11 11:00:00,0.522008310169408,0.00021854079854991917,False,0.49356825042291064,True,False,False
2025-09-14 01:30:00,0.6954129950994208,0.0008794046308657025,False,0.5703856411527931,True,False,False
2025-09-14 02:00:00,0.838452357284396,0.0009013133365206963,False,0.5703856411527931,True,False,False
2025-09-14 02:30:00,1.2402921154734017,0.0009247607609038274,True,0.5674458000416619,True,True,False
2025-09-14 03:00:00,2.048864889863779,0.0009498814580339854,True,0.5714222998995301,True,True,False
2025-09-14 03:30:00,2.1979626528927767,0.0009768228177637894,True,0.595702458558626,True,True,False
2025-09-14 04:00:00,2.238895524610381,0.0010057462790011111,True,0.6056716926323216,True,True,False
2025-09-14 04:30:00,1.9926630988369212,0.0010368293247532041,True,0.6060747799931044,True,True,False
2025-09-14 05:00:00,2.042778977555752,0.001070266521364142,True,0.6159863253669557,True,True,False
2025-09-14 05:30:00,1.9095939274743827,0.0011062698487016576,True,0.6081133289733838,True,True,False
2025-09-14 06:00:00,1.1258232899093628,0.001145068135697258,False,0.6081133289733838,True,False,False
2025-09-14 10:00:00,1.1447698432216065,0.0015851526337655741,False,0.5676607749601018,True,False,False
2025-09-14 10:30:00,0.7765550482800201,0.0016591887843920479,False,0.5761453563349486,True,False,False
2025-09-14 11:00:00,0.5787336728482657,0.0017375235518273986,False,0.5650716506975912,True,False,False
2025-09-16 22:30:00,0.5474403064222599,0.001771289848065886,False,0.5079484019656155,True,False,False
2025-09-16 23:00:00,0.6244982105758403,0.0017721779981224965,False,0.507465632345451,True,False,False
2025-09-16 23:30:00,0.776404624561259,0.0017740542571302125,False,0.5012902657651238,True,False,False
2025-09-17 00:00:00,0.9874792983090899,0.001776863627010054,False,0.4935313240303893,True,False,False
2025-09-17 00:30:00,1.2143420090391217,0.001780540506122345,True,0.4868404310769123,True,True,False
2025-09-17 01:00:00,0.9113717970121051,0.0017849934595274657,False,0.47675181163039104,True,False,False
2025-09-17 01:30:00,0.8791384688093267,0.001790105643249144,False,0.4656540216370764,True,False,False
2025-09-17 02:00:00,0.7941809056241311,0.0017957474362653159,False,0.4540542039308554,True,False,False
2025-09-17 02:30:00,1.1482181686718356,0.0018017848146267095,False,0.4540542039308554,True,False,False
2025-09-17 03:00:00,1.478714738208751,0.0018080786520796959,True,0.4540542039308554,True,True,False
2025-09-17 03:30:00,1.7371545191974214,0.001814485550677129,True,0.4540542039308554,True,True,False
2025-09-17 04:00:00,1.949427254540943,0.0018208666636396014,True,0.4650976706243305,True,True,False
2025-09-17 04:30:00,1.9925441842825613,0.0018270896457834123,True,0.4650976706243305,True,True,False
2025-09-17 05:00:00,1.691479436249903,0.001833030498294382,True,0.47973883746431667,True,True,False
2025-09-17 05:30:00,1.7959035390813334,0.0018385811465589559,True,0.4830698230400502,True,True,False
2025-09-17 06:00:00,2.0681155955045227,0.0018436531383792716,True,0.4841877516893231,True,True,False
2025-09-17 06:30:00,2.073720854087135,0.0018481781398129726,True,0.4841877516893231,True,True,False
2025-09-17 07:00:00,2.3080996950714336,0.001852100136740494,True,0.4841877516893231,True,True,False
2025-09-17 07:30:00,2.2674406782888212,0.001855373765735635,True,0.4841877516893231,True,True,False
2025-09-17 08:00:00,0.5693608332964892,0.0018579589235378318,False,0.4841877516893231,True,False,False
2025-09-17 08:30:00,0.5390599163585499,0.0018598138921307832,False,0.4841877516893231,True,False,False
2025-09-17 09:30:00,0.48151390961623264,0.001861071854050304,False,0.47973883746431667,True,False,False
2025-09-17 10:00:00,0.6241602627943621,0.001860281574294002,False,0.47973883746431667,True,False,False
2025-09-17 18:30:00,0.4417246154413874,0.0015400894612144593,False,0.4408087015029968,True,False,False
2025-09-17 19:00:00,0.6698278638325412,0.001497657358468037,False,0.44417505573825417,True,False,False
2025-09-17 19:30:00,0.6590649029868807,0.0014522336931464726,False,0.4495156488131406,True,False,False
2025-09-19 21:00:00,0.7465304315432206,-0.004939937446517106,False,0.6050043335640211,True,False,False
2025-09-19 21:30:00,1.0999660162627976,-0.004961378784397397,False,0.6050043335640211,True,False,False
2025-09-19 22:00:00,1.2707805837167854,-0.004981432478005014,True,0.6050043335640211,True,True,False
2025-09-19 22:30:00,1.292595587684744,-0.005000150596819945,True,0.5993052434440673,True,True,False
2025-09-19 23:00:00,0.8946979289430601,-0.005017621695935522,False,0.5908027768934161,True,False,False
2025-09-20 06:30:00,0.6867342161317147,-0.005268285874330185,False,0.6822246775209416,True,False,True
2025-09-20 07:00:00,1.4421767417957305,-0.005293517933427694,True,0.6895012726713595,True,True,True
2025-09-20 07:30:00,1.8619737737465059,-0.005320813693884337,True,0.6895012726713595,True,True,True
2025-09-20 08:30:00,1.7569287328855445,-0.005382009096826105,True,0.735321198096495,True,True,True
2025-09-20 09:00:00,1.2419676955281815,-0.005416115362837222,True,0.7456238512972209,True,True,True
2025-09-20 09:30:00,1.7999412974146516,-0.0054527118757098,True,0.770737844134333,True,True,True
2025-09-20 10:00:00,2.235216569806738,-0.0054919262838991996,True,0.770737844134333,True,True,True
2025-09-20 10:30:00,2.261157162491383,-0.005533900927386408,True,0.770737844134333,True,True,True
2025-09-20 11:00:00,2.506200131488093,-0.00557878435415186,True,0.770737844134333,True,True,True
2025-09-20 11:30:00,3.1629748171634766,-0.00562671548951658,True,0.7639152211855633,True,True,True
2025-09-20 12:00:00,3.5678645703999052,-0.005677807247482865,True,0.7682088929609162,True,True,True
2025-09-20 12:30:00,3.6290789984210363,-0.0057321378336006035,True,0.7682088929609162,True,True,True
2025-09-20 13:00:00,3.862266277063817,-0.005789743871844759,True,0.7682088929609162,True,True,True
2025-09-20 13:30:00,4.474750654826941,-0.005850611461960161,True,0.7682088929609162,True,True,True
2025-09-20 14:00:00,4.664431809669825,-0.005914671498232475,True,0.774086873541072,True,True,True
2025-09-20 14:30:00,4.703151292248588,-0.00598180072980566,True,0.7682088929609162,True,True,True
2025-09-20 15:00:00,4.4653168584650125,-0.0060518357052868526,True,0.7732672469585662,True,True,True
2025-09-20 15:30:00,4.770909993263118,-0.006124569561591168,True,0.779145227538722,True,True,True
2025-09-20 16:00:00,4.87231275943774,-0.0061997538419937825,True,0.7750315159096859,True,True,True
2025-09-20 16:30:00,5.034155755674782,-0.006277110185436048,True,0.7682088929609162,True,True,True
2025-09-20 17:00:00,5.659474470046149,-0.006356340052234917,True,0.7639152211855633,True,True,True
2025-09-20 17:30:00,6.246181215733781,-0.006437136540127379,True,0.7639152211855633,True,True,True
2025-09-20 18:00:00,6.540188727498467,-0.006519188716120894,True,0.7639152211855633,True,True,True
2025-09-21 11:30:00,0.7939829772582918,-0.009175652809741308,False,0.6533524666120867,False,False,False
2025-09-21 12:00:00,0.964024424939872,-0.009252061992196303,False,0.6594544201482524,False,False,False
2025-09-21 12:30:00,0.8493749464184219,-0.009328759512388984,False,0.6716001568319504,False,False,False
2025-09-22 10:00:00,1.4879965777986577,-0.013334260554284327,False,0.7026235703436938,False,True,False
2025-09-22 10:30:00,1.4389766610481978,-0.013433392260538449,False,0.6859509568067574,False,True,False
2025-09-22 11:00:00,0.6946775693955232,-0.013532334566166426,False,0.6750262974102116,False,False,False
2025-09-22 13:30:00,0.8942992100475458,-0.014024191918833159,False,0.636632104099084,False,False,False
2025-09-22 14:00:00,0.8351163841473053,-0.014121889235158372,False,0.6421420159612212,False,False,False
2025-09-22 14:30:00,0.7967165703521459,-0.014219281181577633,False,0.6629691817220255,False,False,False
2025-09-22 15:00:00,0.6814643642984421,-0.014316319526258189,False,0.6773301535043204,False,False,False
2025-09-22 23:00:00,0.8180857145939342,-0.015757109865900176,False,0.7576347121964717,False,False,False
2025-09-22 23:30:00,0.9626431720493507,-0.01583803456078492,False,0.7576347121964717,False,False,False
2025-09-23 00:00:00,1.3138874230333286,-0.01591795286804813,False,0.7514049219475525,False,True,False
2025-09-23 00:30:00,1.814827391266661,-0.01599695357792008,False,0.7185223507023076,False,True,False
2025-09-23 01:00:00,2.422459709173978,-0.016075132504737393,False,0.6907126032436567,False,True,False
2025-09-23 01:30:00,3.0284967080760694,-0.016152596147942806,False,0.7208596146641442,False,True,False
2025-09-23 02:00:00,3.855373087109225,-0.01622945775968058,False,0.7433415149562341,False,True,False
2025-09-23 02:30:00,4.265344677216429,-0.016305836812339436,False,0.7317147306739312,False,True,False
2025-09-23 03:00:00,4.612763145758297,-0.016381855229994358,False,0.732438643046133,False,True,False
2025-09-23 03:30:00,4.9718494280894205,-0.016457637059803076,False,0.7497793469639086,False,True,False
2025-09-23 04:00:00,5.186595636648832,-0.0165333032015198,False,0.7725278069186228,False,True,False
2025-09-23 04:30:00,5.344546415887557,-0.01660894876500348,False,0.7978833197588349,False,True,False
2025-09-23 05:00:00,5.645133437180995,-0.0166846450420793,False,0.814293371388963,False,True,False
2025-09-23 05:30:00,5.893449093596772,-0.01676043068477462,False,0.8026808935246844,False,True,False
2025-09-23 06:00:00,6.1961936505722015,-0.01683630290616082,False,0.7805857969439138,False,True,False
2025-09-23 06:30:00,6.661873908379938,-0.016912218578267968,False,0.780492576543001,False,True,False
2025-09-23 07:00:00,7.13542468897408,-0.016988109507899196,False,0.7844496391970212,False,True,False
2025-09-23 07:30:00,7.321371795313162,-0.017063902074054244,False,0.7864540350363656,False,True,False
2025-09-23 08:00:00,7.244379086868527,-0.017139519213839566,False,0.7852802916564195,False,True,False
2025-09-23 08:30:00,5.907675144763736,-0.01721488417137529,False,0.789389832389397,False,True,False
2025-09-23 09:00:00,3.5814745571084146,-0.017289919306241092,False,0.7778407479254369,False,True,False
2025-09-24 02:00:00,0.8380629664365671,-0.019057251886815507,False,0.7580371216214307,False,False,False
2025-09-24 02:30:00,0.9205519970160267,-0.01907662476607837,False,0.7104271133805137,False,False,False
2025-09-24 03:00:00,0.940098484332875,-0.01909392481620979,False,0.6878110373208373,False,False,False
2025-09-24 03:30:00,1.257791906663165,-0.019109200604569665,False,0.6803215875851006,False,True,False
2025-09-24 04:00:00,1.2583392837866256,-0.019122501823080878,False,0.6790258063724363,False,True,False
2025-09-24 04:30:00,1.1477297249370224,-0.01913385440527963,False,0.673880844233381,False,False,False
2025-09-24 05:00:00,1.3286197869411573,-0.019143257805223968,False,0.6453579891209504,False,True,False
2025-09-24 05:30:00,1.2573680297992027,-0.019150700665482745,False,0.6747683845186645,False,True,False
2025-09-24 06:00:00,1.332433522277011,-0.019156162444054086,False,0.6794899151461057,False,True,False
2025-09-24 06:30:00,1.7162107704539622,-0.019159610574243164,False,0.6633347230926366,False,True,False
2025-09-24 07:00:00,2.035072176177149,-0.019160996850320206,False,0.6794620048601093,False,True,False
2025-09-24 07:30:00,2.141262311069834,-0.019160255770070595,False,0.6990918392269395,False,True,False
2025-09-24 08:00:00,2.0670821623725146,-0.019157315805032955,False,0.7357070964617181,False,True,False
2025-09-24 08:30:00,2.389364088497018,-0.019152101908581187,False,0.7470184034780003,False,True,False
2025-09-24 09:00:00,1.8852213965455746,-0.01914455647642299,False,0.7359984999224487,False,True,False
2025-09-28 00:00:00,0.9821887650234089,-0.012221618245455682,False,0.46005954690828244,False,False,False
2025-09-28 00:30:00,0.5014647055135057,-0.012204745795023323,False,0.45656177033239226,False,False,False
2025-09-28 01:00:00,0.5240669171248022,-0.012187771670708022,False,0.44855883442982697,False,False,False
2025-09-28 01:30:00,0.5765728018344163,-0.012170701499359874,False,0.44584636227802465,False,False,False
2025-09-28 02:00:00,0.4867924553759053,-0.012153541280199557,False,0.44680333559276164,False,False,False
2025-09-28 09:00:00,0.6107556469027351,-0.01190761141063786,False,0.43634404770585533,False,False,False
2025-09-28 09:30:00,3.5987795197693018,-0.011889829689927467,False,0.43550891316124835,False,True,False
2025-09-28 10:00:00,4.144195283816675,-0.011872036021337943,False,0.42145308692676825,False,True,False
2025-09-28 10:30:00,3.893798743735047,-0.011854233782136939,False,0.41884717058558923,False,True,False
2025-09-28 11:00:00,3.5698718639266716,-0.011836426242896417,False,0.407218700410781,False,True,False
2025-09-28 11:30:00,3.2299283391509874,-0.011818616532188742,False,0.39990861665461136,False,True,False
2025-09-28 12:30:00,0.9202195705988245,-0.01178300224660056,False,0.3989611337116516,False,False,False
2025-09-28 13:00:00,0.46295087344389785,-0.011765202362404045,False,0.4036807100199669,False,False,False
2025-09-28 13:30:00,0.5068057621102362,-0.01174740986213981,False,0.3965289277927251,False,False,False
2025-09-28 14:00:00,0.5580752428416922,-0.011729627800419232,False,0.3907104186845912,False,False,False
2025-09-28 14:30:00,0.5178678443051297,-0.011711860469812171,False,0.3829421282288644,False,False,False
2025-09-28 15:00:00,0.45984041576213386,-0.011694113386702417,False,0.3744928186577808,False,False,False
2025-09-28 15:30:00,0.4014692424812303,-0.011676393344608607,False,0.3807000968194068,False,False,False
2025-09-28 16:00:00,0.40273227026382585,-0.011658708205449267,False,0.3678746328953041,False,False,False
2025-09-28 23:00:00,0.4880537018272335,-0.011418571902089761,False,0.41080585120507007,False,False,False
2025-09-28 23:30:00,0.5099322108718063,-0.011402158756565584,False,0.41264086233778535,False,False,False
